City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cape town,75,ZA,Mon Apr  1 08:23:11 2019,67,-33.93,18.42,66.99,8.05
kodiak,1,US,Mon Apr  1 08:27:04 2019,50,39.95,-94.76,35.01,9.17
cabo san lucas,0,MX,Mon Apr  1 08:25:39 2019,50,22.89,-109.91,69.01,11.65
yar-sale,0,RU,Mon Apr  1 08:28:46 2019,92,66.83,70.83,27.3,12.66
arraial do cabo,36,BR,Mon Apr  1 08:28:47 2019,100,-22.97,-42.02,72.39,3.6
bluff,0,AU,Mon Apr  1 08:28:47 2019,41,-23.58,149.07,72.39,5.73
talnakh,88,RU,Mon Apr  1 08:28:47 2019,96,69.49,88.39,30.09,7.96
yellowknife,40,CA,Mon Apr  1 08:23:36 2019,74,62.45,-114.38,28.4,18.34
nikolskoye,40,RU,Mon Apr  1 08:26:58 2019,80,59.7,30.79,48,15.66
ribeira grande,40,PT,Mon Apr  1 08:00:00 2019,67,38.52,-28.7,57.2,9.17
kununurra,24,AU,Mon Apr  1 07:30:00 2019,19,-15.77,128.74,95,10.29
castro,90,CL,Mon Apr  1 08:00:00 2019,100,-42.48,-73.76,50,4.7
klyuchi,0,RU,Mon Apr  1 08:28:50 2019,57,52.25,79.17,50.43,3.71
kabare,40,RW,Mon Apr  1 07:00:00 2019,73,-1.65,29.38,75.2,6.93
natal,75,BR,Mon Apr  1 08:00:00 2019,94,-5.81,-35.21,75.2,5.82
mataura,92,NZ,Mon Apr  1 08:20:07 2019,90,-46.19,168.86,46.99,1.01
petropavlovsk-kamchatskiy,40,RU,Mon Apr  1 07:30:00 2019,86,53.05,158.65,30.2,6.71
namatanai,92,PG,Mon Apr  1 08:28:51 2019,100,-3.66,152.44,80.76,8.75
sirsilla,0,IN,Mon Apr  1 08:28:53 2019,25,18.39,78.81,103.08,3.38
georgetown,0,GY,Mon Apr  1 07:00:00 2019,94,6.8,-58.16,69.8,4.7
victoria,75,BN,Mon Apr  1 07:30:00 2019,55,5.28,115.24,87.8,10.29
hermanus,88,ZA,Mon Apr  1 08:16:01 2019,56,-34.42,19.24,63,5.01
nizhniy kuranakh,44,RU,Mon Apr  1 08:28:55 2019,60,58.84,125.49,27.66,2.71
pisco,0,PE,Mon Apr  1 07:00:00 2019,82,-13.71,-76.2,68,11.41
rikitea,80,PF,Mon Apr  1 08:28:55 2019,100,-23.12,-134.97,76.53,13
busselton,92,AU,Mon Apr  1 08:28:09 2019,36,-33.64,115.35,75.99,16.91
kapaa,1,US,Mon Apr  1 08:23:27 2019,68,22.08,-159.32,69.8,8.05
dunedin,0,NZ,Mon Apr  1 08:24:13 2019,61,-45.87,170.5,53.01,14
vaini,40,IN,Mon Apr  1 07:00:00 2019,26,15.34,74.49,95,6.93
santa isabel,92,CO,Mon Apr  1 08:28:57 2019,100,4.71,-75.1,62.4,0.13
san patricio,80,PY,Mon Apr  1 08:28:58 2019,91,-26.98,-56.83,73.65,2.15
east london,40,ZA,Mon Apr  1 08:00:00 2019,56,-33.02,27.91,68,27.51
lebu,75,ET,Mon Apr  1 08:00:00 2019,43,8.96,38.73,69.8,6.93
portland,75,US,Mon Apr  1 08:28:16 2019,66,45.52,-122.67,54,9.17
codrington,0,AU,Mon Apr  1 08:26:02 2019,56,-28.95,153.24,73.4,10.29
werl,0,DE,Mon Apr  1 08:28:15 2019,65,51.55,7.92,50,8.05
hobart,75,AU,Mon Apr  1 08:28:15 2019,54,-42.88,147.33,59,6.93
asyut,0,EG,Mon Apr  1 08:00:00 2019,41,27.18,31.19,59,8.05
jamestown,0,AU,Mon Apr  1 08:28:20 2019,56,-33.21,138.6,62.13,5.06
bardsir,90,IR,Mon Apr  1 08:00:00 2019,20,29.93,56.57,73.4,6.93
airai,88,TL,Mon Apr  1 08:29:01 2019,91,-8.93,125.41,71.85,0.81
saint-philippe,90,CA,Mon Apr  1 08:28:57 2019,86,45.36,-73.48,27,5.82
lagoa,40,PT,Mon Apr  1 08:27:23 2019,77,37.14,-8.45,60.8,3.36
ushuaia,90,AR,Mon Apr  1 07:00:00 2019,100,-54.81,-68.31,44.6,17.22
ukiah,20,US,Mon Apr  1 08:25:33 2019,50,39.15,-123.21,55.4,6.93
saint-pierre,0,FR,Mon Apr  1 08:27:05 2019,58,48.95,4.24,53.6,16.11
port alfred,0,ZA,Mon Apr  1 08:29:04 2019,76,-33.59,26.89,65.91,25.41
buchanan,75,LR,Mon Apr  1 08:00:00 2019,94,5.88,-10.05,78.8,2.26
oriximina,76,BR,Mon Apr  1 08:29:05 2019,98,-1.77,-55.87,74.73,2.37
puerto del rosario,20,ES,Mon Apr  1 08:00:00 2019,77,28.5,-13.86,64.4,3.36
bakchar,0,RU,Mon Apr  1 08:29:05 2019,72,57.02,82.07,38.28,9.75
faanui,8,PF,Mon Apr  1 08:29:05 2019,99,-16.48,-151.75,84.99,3.15
lompoc,1,US,Mon Apr  1 08:28:00 2019,87,34.64,-120.46,62.01,5.84
mwanza,75,TZ,Mon Apr  1 07:00:00 2019,73,-2.52,32.9,75.2,16.11
saint george,0,GR,Mon Apr  1 08:23:21 2019,58,39.45,22.34,59,3.27
chuy,24,UY,Mon Apr  1 08:29:07 2019,96,-33.69,-53.46,66.45,5.95
tuktoyaktuk,32,CA,Mon Apr  1 08:28:29 2019,79,69.44,-133.03,12.72,20.83
monmouth,75,GB,Mon Apr  1 08:24:05 2019,86,51.81,-2.72,44.01,3.36
chokurdakh,0,RU,Mon Apr  1 08:29:08 2019,69,70.62,147.9,11.82,7.96
carnarvon,0,ZA,Mon Apr  1 08:28:26 2019,42,-30.97,22.13,58.17,9.86
gizo,75,IL,Mon Apr  1 08:29:06 2019,87,31.8,34.94,62.01,11.41
jumla,80,NP,Mon Apr  1 08:29:08 2019,70,29.28,82.18,40.44,2.04
port blair,20,IN,Mon Apr  1 07:00:00 2019,58,11.67,92.75,87.8,9.17
kruisfontein,0,ZA,Mon Apr  1 08:29:09 2019,71,-34,24.73,61.14,20.49
morant bay,40,JM,Mon Apr  1 08:00:00 2019,74,17.88,-76.41,78.8,8.05
ingleside,40,CA,Mon Apr  1 08:28:28 2019,62,45,-74.99,25,12.75
bambous virieux,40,MU,Mon Apr  1 08:29:02 2019,70,-20.34,57.76,86,6.93
kaitangata,48,NZ,Mon Apr  1 08:27:21 2019,65,-46.28,169.85,48,15.99
kamenka,64,RU,Mon Apr  1 08:29:11 2019,95,53.19,44.05,35.22,3.83
kurilsk,76,RU,Mon Apr  1 08:29:11 2019,100,45.23,147.88,25.32,16.46
laguna,20,MX,Mon Apr  1 08:29:12 2019,63,27.52,-110.01,60.42,2.15
albany,1,US,Mon Apr  1 08:27:06 2019,60,42.65,-73.75,33.01,18.34
birao,0,CF,Mon Apr  1 08:29:12 2019,15,10.3,22.78,93.72,17.58
champerico,36,MX,Mon Apr  1 08:29:13 2019,82,16.38,-93.6,67.98,5.5
forio,44,IT,Mon Apr  1 08:29:05 2019,87,40.73,13.86,60.01,2.24
longyearbyen,20,NO,Mon Apr  1 07:50:00 2019,71,78.22,15.63,6.8,8.05
broome,20,GB,Mon Apr  1 08:29:00 2019,70,52.47,1.45,48.99,12.75
butaritari,80,KI,Mon Apr  1 08:28:26 2019,99,3.07,172.79,84,13.67
bubaque,0,GW,Mon Apr  1 08:29:14 2019,85,11.28,-15.83,84.27,9.98
upernavik,56,GL,Mon Apr  1 08:28:25 2019,100,72.79,-56.15,10.65,3.49
new norfolk,75,AU,Mon Apr  1 08:29:14 2019,54,-42.78,147.06,59,6.93
coquimbo,0,CL,Mon Apr  1 07:00:00 2019,81,-29.95,-71.34,53.6,6.93
puerto ayora,0,EC,Mon Apr  1 08:24:37 2019,98,-0.74,-90.35,77.79,4.94
nanortalik,68,GL,Mon Apr  1 08:29:16 2019,100,60.14,-45.24,24.6,13.89
dire,75,ET,Mon Apr  1 08:00:00 2019,43,9.18,38.92,69.8,6.93
sharlyk,0,RU,Mon Apr  1 08:29:16 2019,89,52.93,54.74,35.67,16.91
aleksandrovskiy zavod,56,RU,Mon Apr  1 08:29:17 2019,45,50.92,117.94,29.37,5.61
hilo,20,US,Mon Apr  1 08:28:16 2019,94,19.71,-155.08,73,1.59
provideniya,68,RU,Mon Apr  1 08:29:17 2019,95,64.42,-173.23,28.83,5.61
avarua,36,CK,Mon Apr  1 08:00:00 2019,88,-21.21,-159.78,82.4,10.29
turukhansk,88,RU,Mon Apr  1 08:29:21 2019,96,65.8,87.96,30.54,11.99
vostok,12,RU,Mon Apr  1 08:29:22 2019,48,46.45,135.83,27.57,4.83
souillac,0,FR,Mon Apr  1 08:25:33 2019,66,45.6,-0.6,53.01,3.36
lavrentiya,80,RU,Mon Apr  1 08:29:22 2019,94,65.58,-170.99,27.39,3.6
songjianghe,64,CN,Mon Apr  1 08:29:22 2019,43,42.18,127.48,29.55,8.86
evensk,88,RU,Mon Apr  1 08:29:23 2019,83,61.92,159.24,32.97,17.58
hwange,0,ZW,Mon Apr  1 08:29:23 2019,32,-18.35,26.5,87.42,11.1
roald,75,NO,Mon Apr  1 08:25:02 2019,60,62.58,6.12,42.8,20.8
punta arenas,75,CL,Mon Apr  1 08:22:25 2019,87,-53.16,-70.91,50,6.93
gamba,20,CN,Mon Apr  1 08:29:24 2019,69,28.28,88.52,24.33,10.98
adrar,0,DZ,Mon Apr  1 08:00:00 2019,63,27.87,-0.29,60.8,6.93
atuona,36,PF,Mon Apr  1 08:29:25 2019,99,-9.8,-139.03,82.38,13.44
panshi,80,CN,Mon Apr  1 08:29:25 2019,38,42.94,126.05,37.11,7.85
nador,20,MA,Mon Apr  1 08:00:00 2019,77,35.17,-2.93,62.6,3.6
fortuna,75,ES,Mon Apr  1 08:28:40 2019,87,38.18,-1.13,60.01,4.7
san ignacio,76,CL,Mon Apr  1 07:00:00 2019,100,-36.8,-72.03,51.8,3.36
praya,40,ID,Mon Apr  1 07:30:00 2019,70,-8.71,116.27,86,6.93
urengoy,20,RU,Mon Apr  1 08:29:27 2019,96,65.96,78.37,27.75,13.11
geraldton,20,CA,Mon Apr  1 08:00:00 2019,61,49.72,-86.95,17.6,6.93
havre-saint-pierre,90,CA,Mon Apr  1 08:14:00 2019,98,50.23,-63.6,32,10.29
denpasar,40,ID,Mon Apr  1 07:30:00 2019,66,-8.65,115.22,87.8,5.82
reshetylivka,0,UA,Mon Apr  1 08:29:28 2019,74,49.56,34.08,56.1,13.33
khandbari,24,NP,Mon Apr  1 08:25:46 2019,72,27.38,87.21,41.7,0.36
lorengau,56,PG,Mon Apr  1 08:29:29 2019,95,-2.02,147.27,83.55,11.77
terrace,5,CA,Mon Apr  1 08:16:08 2019,60,54.52,-128.61,41,11.41
bonavista,92,CA,Mon Apr  1 08:15:08 2019,88,48.65,-53.11,34,7
pokaran,0,IN,Mon Apr  1 08:29:30 2019,24,26.93,71.92,99.03,9.42
khatanga,32,RU,Mon Apr  1 08:29:30 2019,95,71.98,102.47,30.18,3.71
bredasdorp,40,ZA,Mon Apr  1 08:15:24 2019,45,-34.53,20.04,66.2,11.41
mackay,20,CA,Mon Apr  1 08:00:00 2019,92,53.65,-115.58,30.2,3.36
dayong,0,PH,Mon Apr  1 08:29:31 2019,91,11.74,122.04,82.74,16.02
tasiilaq,8,GL,Mon Apr  1 07:50:00 2019,73,65.61,-37.64,21.2,5.82
kamuli,0,UG,Mon Apr  1 08:29:32 2019,87,0.94,33.12,82.47,5.95
los llanos de aridane,20,ES,Mon Apr  1 08:26:00 2019,67,28.66,-17.92,62.6,4.7
hithadhoo,36,MV,Mon Apr  1 08:29:32 2019,100,-0.6,73.08,83.37,4.05
esperance,20,TT,Mon Apr  1 08:25:06 2019,88,10.24,-61.45,75.2,5.17
kavieng,68,PG,Mon Apr  1 08:28:20 2019,98,-2.57,150.8,84.45,8.52
sistranda,75,NO,Mon Apr  1 08:29:23 2019,86,63.73,8.83,39.2,34.45
san quintin,36,PH,Mon Apr  1 08:29:33 2019,61,17.54,120.52,81.3,2.26
saint-augustin,0,FR,Mon Apr  1 08:20:40 2019,81,44.83,-0.61,57.2,4.7
kefamenanu,68,ID,Mon Apr  1 08:29:34 2019,96,-9.45,124.48,70.14,0.47
ilulissat,0,GL,Mon Apr  1 07:50:00 2019,56,69.22,-51.1,12.2,21.92
mar del plata,24,AR,Mon Apr  1 08:28:19 2019,48,-46.43,-67.52,62.4,14.45
rocha,80,UY,Mon Apr  1 08:29:35 2019,96,-34.48,-54.34,59.52,3.38
sibolga,92,ID,Mon Apr  1 08:29:35 2019,93,1.74,98.78,73.29,1.48
zhigansk,88,RU,Mon Apr  1 08:29:36 2019,72,66.77,123.37,29.01,8.63
wanning,40,AT,Mon Apr  1 08:28:24 2019,61,48.64,13.53,54,14.99
wenling,0,CN,Mon Apr  1 08:26:48 2019,39,28.38,121.38,63,3
kahului,40,US,Mon Apr  1 08:24:42 2019,78,20.89,-156.47,73.99,4.7
dhidhdhoo,8,MV,Mon Apr  1 08:29:37 2019,100,6.88,73.1,83.37,1.36
mutoko,0,ZW,Mon Apr  1 08:29:37 2019,74,-17.4,32.23,74.82,3.71
nikko,92,JP,Mon Apr  1 08:29:37 2019,73,36.75,139.62,41.34,2.37
komsomolskiy,68,RU,Mon Apr  1 08:29:38 2019,92,67.55,63.78,26.49,19.71
shitanjing,12,CN,Mon Apr  1 08:29:38 2019,14,39.23,106.34,63.12,3.83
camacha,20,PT,Mon Apr  1 08:00:00 2019,67,33.08,-16.33,60.8,9.17
fuyu,80,CN,Mon Apr  1 08:29:39 2019,28,47.79,124.46,40.35,9.64
providencia,36,CO,Mon Apr  1 08:25:36 2019,97,1.24,-77.6,51.42,1.92
zenzeli,56,RU,Mon Apr  1 08:29:39 2019,57,45.92,47.05,53.49,22.84
iquitos,75,PE,Mon Apr  1 08:00:00 2019,94,-3.75,-73.25,77,2.24
thaba nchu,0,ZA,Mon Apr  1 08:00:00 2019,53,-29.2,26.83,75.2,4.7
puerto madryn,0,AR,Mon Apr  1 08:29:40 2019,75,-42.77,-65.04,61.59,11.43
maputo,0,MZ,Mon Apr  1 08:00:00 2019,51,-25.97,32.57,86,14.99
hun,20,BE,Mon Apr  1 08:29:35 2019,81,50.34,4.87,48.99,8.05
zhangye,48,CN,Mon Apr  1 08:29:41 2019,65,38.94,100.46,54.12,4.72
kieta,92,PG,Mon Apr  1 08:29:42 2019,100,-6.22,155.63,74.91,3.27
jacqueville,40,CI,Mon Apr  1 07:30:00 2019,94,5.21,-4.42,82.4,5.82
bethel,1,US,Mon Apr  1 07:56:00 2019,80,60.79,-161.76,35.6,10.29
pacific grove,1,US,Mon Apr  1 08:29:16 2019,71,36.62,-121.92,57,4.7
palauig,80,PH,Mon Apr  1 08:29:44 2019,73,15.44,119.9,83.28,6.4
ostrovnoy,24,RU,Mon Apr  1 08:29:44 2019,90,68.05,39.51,24.6,21.39
mayo,5,CA,Mon Apr  1 08:00:00 2019,86,63.59,-135.9,28.4,2.24
iskateley,88,RU,Mon Apr  1 08:29:45 2019,95,67.68,53.15,30.09,22.06
margate,75,AU,Mon Apr  1 08:29:14 2019,54,-43.03,147.26,59,6.93
buta,24,CD,Mon Apr  1 08:29:46 2019,76,2.79,24.73,83.28,3.04
ewa beach,1,US,Mon Apr  1 08:29:33 2019,78,21.32,-158.01,75.2,5.82
arlit,36,NE,Mon Apr  1 08:29:46 2019,40,18.74,7.39,83.55,5.95
lima,75,PE,Mon Apr  1 08:25:03 2019,88,-12.06,-77.04,69.01,14.99
nadym,0,RU,Mon Apr  1 08:29:47 2019,94,65.53,72.51,30.54,10.65
zeya,0,RU,Mon Apr  1 08:29:47 2019,36,53.74,127.27,27.66,3.71
inyonga,44,TZ,Mon Apr  1 08:29:47 2019,67,-6.72,32.06,78.96,6.73
tazovskiy,0,RU,Mon Apr  1 08:29:48 2019,93,67.47,78.7,26.76,13.44
sao joao da barra,68,BR,Mon Apr  1 08:29:48 2019,100,-21.64,-41.05,76.8,6.06
mozarlandia,0,BR,Mon Apr  1 08:29:48 2019,87,-14.74,-50.57,67.62,2.71
pozzallo,0,IT,Mon Apr  1 08:29:25 2019,58,44.81,9.34,66,6.93
maubeuge,0,BE,Mon Apr  1 08:29:35 2019,70,50.28,3.97,46.99,11.41
ormara,0,PK,Mon Apr  1 08:29:49 2019,63,25.21,64.64,83.64,11.43
hamilton,40,BM,Mon Apr  1 08:16:19 2019,88,32.3,-64.78,66.2,11.41
constitucion,0,MX,Mon Apr  1 08:29:50 2019,68,23.99,-104.67,48.72,5.95
ancud,90,CL,Mon Apr  1 08:00:00 2019,100,-41.87,-73.83,50,4.7
zapadnaya dvina,44,RU,Mon Apr  1 08:29:51 2019,64,56.26,32.09,39.27,18.03
fairbanks,1,US,Mon Apr  1 08:25:03 2019,80,64.84,-147.72,32,1.7
touros,75,BR,Mon Apr  1 08:00:00 2019,100,-5.2,-35.46,75.2,5.82
seoul,75,KR,Mon Apr  1 08:10:00 2019,25,37.57,126.98,50,4.7
huangcun,88,CN,Mon Apr  1 08:29:52 2019,87,23.83,115.22,63.3,3.49
buzmeyin,90,TM,Mon Apr  1 07:00:00 2019,71,38.05,58.21,51.8,20.8
henties bay,0,NA,Mon Apr  1 08:02:13 2019,74,-22.12,14.28,71.01,7
saldanha,12,PT,Mon Apr  1 08:29:53 2019,66,41.42,-6.55,51.33,3.94
la paz,0,MX,Mon Apr  1 08:00:26 2019,61,24.15,-110.32,48.99,3.38
jurilovca,0,RO,Mon Apr  1 08:00:00 2019,39,44.77,28.87,63,13.87
takoradi,8,GH,Mon Apr  1 08:29:54 2019,93,4.89,-1.75,83.82,5.61
dikson,64,RU,Mon Apr  1 08:26:45 2019,100,73.51,80.55,26.04,24.85
letenye,0,HR,Mon Apr  1 08:25:58 2019,62,46.43,16.72,59,12.75
nelson bay,90,AU,Mon Apr  1 08:20:35 2019,100,-32.72,152.14,64,4.7
ponta do sol,44,BR,Mon Apr  1 08:29:56 2019,84,-20.63,-46,65.73,2.93
sulangan,64,PH,Mon Apr  1 08:29:56 2019,93,11.14,123.72,84.27,10.65
mahebourg,40,MU,Mon Apr  1 08:24:02 2019,70,-20.41,57.7,86,6.93
pochutla,48,MX,Mon Apr  1 08:16:15 2019,72,15.74,-96.47,77,1.92
shelburne,20,CA,Mon Apr  1 08:28:02 2019,79,44.08,-80.2,23,5.82
port augusta,0,AU,Mon Apr  1 08:26:36 2019,49,-32.49,137.76,73.99,9.17
san angelo,8,US,Mon Apr  1 08:25:12 2019,53,31.46,-100.44,43,1.99
peterhead,20,AU,Mon Apr  1 08:29:31 2019,55,-34.83,138.5,68,9.17
cururupu,92,BR,Mon Apr  1 08:29:59 2019,100,-1.82,-44.87,71.76,4.16
thompson,40,CA,Mon Apr  1 08:00:00 2019,66,55.74,-97.86,15.8,5.82
cherskiy,36,RU,Mon Apr  1 08:30:00 2019,71,68.75,161.3,9.12,5.06
namibe,8,AO,Mon Apr  1 08:30:00 2019,98,-15.19,12.15,80.22,0.02
hasaki,75,JP,Mon Apr  1 08:24:36 2019,57,35.73,140.83,48.99,5.82
havelock,90,US,Mon Apr  1 08:25:57 2019,42,34.88,-76.9,48.99,17.22
nongan,75,CN,Mon Apr  1 07:00:00 2019,17,44.43,125.17,42.8,8.95
rojhan,0,PK,Mon Apr  1 08:30:03 2019,39,28.69,69.95,92.1,2.04
umm lajj,0,SA,Mon Apr  1 08:30:04 2019,71,25.02,37.27,71.4,6.62
lata,44,IN,Mon Apr  1 08:28:25 2019,69,30.78,78.62,53.4,1.25
marawi,80,PH,Mon Apr  1 08:16:15 2019,85,8,124.29,79,8.01
qaanaaq,56,GL,Mon Apr  1 08:28:22 2019,72,77.48,-69.36,0.12,5.73
nuuk,0,GL,Mon Apr  1 07:50:00 2019,62,64.17,-51.74,19.4,16.11
bonnyville,75,CA,Mon Apr  1 08:00:00 2019,69,54.27,-110.74,35.6,9.17
salmon arm,8,CA,Mon Apr  1 08:16:17 2019,96,50.7,-119.29,37.99,1.14
saskylakh,8,RU,Mon Apr  1 08:30:14 2019,89,71.97,114.09,28.02,12.21
nago,0,IT,Mon Apr  1 08:30:13 2019,36,45.88,10.89,71.01,4.7
port hardy,5,CA,Mon Apr  1 07:00:00 2019,86,50.7,-127.42,32,3.36
teahupoo,20,PF,Mon Apr  1 08:22:21 2019,83,-17.83,-149.27,80.6,5.82
ibra,0,OM,Mon Apr  1 08:30:15 2019,29,22.69,58.55,91.2,3.38
goure,8,NE,Mon Apr  1 08:30:16 2019,13,13.98,10.27,92.91,11.99
vondrozo,80,MG,Mon Apr  1 08:30:16 2019,74,-22.82,47.32,80.94,4.5
bulgan,0,MN,Mon Apr  1 08:30:17 2019,22,48.81,103.53,51.24,3.71
okhotsk,0,RU,Mon Apr  1 08:30:17 2019,67,59.36,143.24,30.72,6.85
morondava,0,MG,Mon Apr  1 08:30:18 2019,65,-20.3,44.28,88.59,5.95
haines junction,0,CA,Mon Apr  1 08:30:18 2019,73,60.75,-137.51,16.32,2.15
vanimo,92,PG,Mon Apr  1 08:30:19 2019,100,-2.67,141.3,82.74,16.58
yashkul,32,RU,Mon Apr  1 08:30:19 2019,63,46.17,45.34,54.57,22.06
muroto,40,JP,Mon Apr  1 08:00:00 2019,34,33.37,134.14,50,17.22
aykhal,68,RU,Mon Apr  1 08:30:19 2019,77,65.95,111.51,34.05,7.63
saint anthony,90,US,Mon Apr  1 08:28:23 2019,64,43.97,-111.68,39,4.7
sao felix do xingu,36,BR,Mon Apr  1 08:30:21 2019,100,-6.64,-51.99,72.3,2.15
navalcarnero,75,ES,Mon Apr  1 08:30:10 2019,87,40.29,-4.01,53.01,5.82
luderitz,0,NA,Mon Apr  1 08:30:21 2019,85,-26.65,15.16,66.09,16.24
sitka,88,US,Mon Apr  1 08:16:24 2019,68,37.17,-99.65,35.01,1.99
wewak,36,PG,Mon Apr  1 08:30:22 2019,84,-3.55,143.63,80.4,3.83
la ronge,90,CA,Mon Apr  1 08:00:00 2019,58,55.1,-105.3,30.2,8.05
oxchuc,12,MX,Mon Apr  1 08:30:22 2019,93,16.78,-92.34,55.74,1.25
gaya,44,IN,Mon Apr  1 07:00:00 2019,46,24.8,85.01,91.4,9.17
salamanca,0,ES,Mon Apr  1 08:24:49 2019,81,40.97,-5.66,51.01,4.5
inuvik,90,CA,Mon Apr  1 08:00:00 2019,79,68.36,-133.71,23,5.82
bollnas,0,SE,Mon Apr  1 08:30:24 2019,46,61.35,16.39,36.3,7.18
acapulco,0,MX,Mon Apr  1 08:27:49 2019,77,16.86,-99.88,68.34,3.49
vao,0,EE,Mon Apr  1 08:28:18 2019,81,59.1,26.19,36.75,9.42
dingle,0,PH,Mon Apr  1 08:30:24 2019,29,11,122.67,88.23,14
wyndham,20,GB,Mon Apr  1 08:30:16 2019,86,51.61,-3.54,46,14.99
padilla,75,CO,Mon Apr  1 08:00:00 2019,94,3.23,-76.31,69.8,1.59
nantucket,1,US,Mon Apr  1 08:30:23 2019,64,41.28,-70.1,37.4,17.22
xichang,92,CN,Mon Apr  1 08:29:50 2019,29,27.88,102.25,75,2.26
issoudun,0,FR,Mon Apr  1 08:30:14 2019,66,46.95,1.99,53.01,5.82
tocopilla,48,CL,Mon Apr  1 08:30:26 2019,100,-22.09,-70.2,59.7,4.05
roma,0,IT,Mon Apr  1 08:29:04 2019,66,41.89,12.48,61,4.7
traverse city,1,US,Mon Apr  1 08:26:56 2019,85,44.76,-85.62,23,7.29
honiara,80,SB,Mon Apr  1 08:30:27 2019,93,-9.43,159.96,76.89,2.04
eston,75,CA,Mon Apr  1 08:21:34 2019,66,51.15,-108.75,32,12.75
mweka,0,CD,Mon Apr  1 08:30:28 2019,77,-4.85,21.56,83.19,4.83
manakara,88,MG,Mon Apr  1 08:30:29 2019,98,-22.14,48.01,78.33,3.94
palmer,20,AU,Mon Apr  1 08:30:30 2019,55,-34.85,139.16,68,9.17
surin,40,TH,Mon Apr  1 08:23:11 2019,49,14.88,103.49,98.01,3.36
willmar,1,US,Mon Apr  1 08:30:03 2019,92,45.12,-95.04,32,11.41
price,1,US,Mon Apr  1 08:25:08 2019,48,39.6,-110.81,39.2,4.7
chumikan,44,RU,Mon Apr  1 08:30:31 2019,63,54.72,135.31,27.66,4.05
diebougou,20,BF,Mon Apr  1 08:30:31 2019,45,10.97,-3.25,91.02,7.18
san cristobal,75,EC,Mon Apr  1 08:15:49 2019,93,-0.39,-78.55,57.2,2.24
cercal,12,PT,Mon Apr  1 08:16:19 2019,92,37.8,-8.67,55.99,1.01
kaysville,1,US,Mon Apr  1 08:30:31 2019,51,41.03,-111.94,42.8,11.41
dicabisagan,36,PH,Mon Apr  1 08:30:33 2019,96,17.08,122.42,78.6,6.4
tomatlan,0,MX,Mon Apr  1 08:30:33 2019,86,19.93,-105.25,56.82,2.26
pampierstad,0,ZA,Mon Apr  1 08:30:34 2019,23,-27.78,24.69,79.14,9.42
leningradskiy,88,RU,Mon Apr  1 08:28:28 2019,86,69.38,178.42,10.92,14.45
fare,0,PF,Mon Apr  1 08:30:34 2019,98,-16.7,-151.02,84.54,5.17
hermiston,1,US,Mon Apr  1 08:26:19 2019,70,45.84,-119.29,50,4.7
