City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
caravelas,0,BR,Mon Apr  1 08:30:35 2019,100,-17.73,-39.27,80.67,9.19
quatre cocos,40,MU,Mon Apr  1 08:29:02 2019,70,-20.21,57.76,86,6.93
san juan,20,PR,Mon Apr  1 08:30:31 2019,83,18.47,-66.12,75.2,6.73
sobolevo,0,RU,Mon Apr  1 08:30:38 2019,62,54.43,31.9,40.17,16.69
iroquois falls,5,CA,Mon Apr  1 08:00:00 2019,84,48.76,-80.69,1.4,4.7
makokou,0,GA,Mon Apr  1 08:30:38 2019,76,0.56,12.85,83.91,3.04
narsaq,8,GL,Mon Apr  1 07:50:00 2019,39,60.91,-46.05,12.2,5.82
sinnamary,92,GF,Mon Apr  1 08:30:39 2019,99,5.38,-52.96,78.42,9.31
ust-barguzin,0,RU,Mon Apr  1 08:30:40 2019,50,53.41,109.03,35.94,2.48
clyde river,90,CA,Mon Apr  1 08:00:00 2019,84,70.47,-68.59,-0.41,11.41
mehamn,75,NO,Mon Apr  1 07:50:00 2019,58,71.03,27.85,32,12.75
tehachapi,1,US,Mon Apr  1 08:26:21 2019,75,35.13,-118.45,57.99,6.93
black river,20,JM,Mon Apr  1 08:00:00 2019,78,18.03,-77.85,77,4.7
yeppoon,8,AU,Mon Apr  1 07:30:00 2019,57,-23.13,150.74,78.8,13.87
sao filipe,0,CV,Mon Apr  1 08:30:41 2019,98,14.9,-24.5,70.05,15.01
san vicente,75,SV,Mon Apr  1 07:50:00 2019,83,13.64,-88.78,80.6,3.36
boa vista,0,BR,Mon Apr  1 08:00:00 2019,58,2.82,-60.67,82.4,11.41
labuhan,32,ID,Mon Apr  1 08:30:43 2019,97,-2.54,115.51,78.15,1.7
vikindu,75,TZ,Mon Apr  1 08:00:00 2019,79,-6.98,39.3,86,8.05
praia da vitoria,40,PT,Mon Apr  1 08:16:06 2019,76,38.73,-27.07,57.2,27.31
bandarbeyla,0,SO,Mon Apr  1 08:30:44 2019,100,9.49,50.81,81.03,7.29
kachhwa,0,IN,Mon Apr  1 07:30:00 2019,12,25.21,82.72,96.8,11.41
pilar,0,AR,Mon Apr  1 08:30:33 2019,88,-34.46,-58.91,71.6,4.7
kavaratti,12,IN,Mon Apr  1 08:30:46 2019,100,10.57,72.64,83.01,7.29
aklavik,90,CA,Mon Apr  1 08:00:00 2019,79,68.22,-135.01,23,5.82
ternate,40,PH,Mon Apr  1 08:29:23 2019,58,14.29,120.72,91,18.34
hirara,75,JP,Mon Apr  1 08:00:00 2019,68,24.8,125.28,64.4,13.87
solvychegodsk,0,RU,Mon Apr  1 08:30:47 2019,78,61.33,46.92,33.6,10.76
dargaville,100,NZ,Mon Apr  1 08:30:47 2019,97,-35.94,173.86,65.46,5.61
upington,0,ZA,Mon Apr  1 08:00:00 2019,37,-28.46,21.24,66.2,6.93
torbay,90,CA,Mon Apr  1 08:27:00 2019,100,47.66,-52.73,46.4,11.41
gambela,32,ET,Mon Apr  1 08:30:48 2019,23,8.25,34.59,87.69,2.82
luorong,64,CN,Mon Apr  1 08:30:49 2019,91,24.41,109.6,65.73,4.61
kasongo-lunda,92,CD,Mon Apr  1 08:30:49 2019,89,-6.48,16.82,75.27,4.38
qaqortoq,24,GL,Mon Apr  1 07:50:00 2019,39,60.72,-46.03,12.2,5.82
sosnovoborsk,40,RU,Mon Apr  1 08:00:00 2019,51,56.12,93.34,37.4,22.37
ust-omchug,64,RU,Mon Apr  1 08:30:50 2019,73,61.13,149.63,14.97,8.63
balsta,0,SE,Mon Apr  1 08:28:11 2019,55,59.57,17.53,43,4.7
paraiso,0,MX,Mon Apr  1 08:30:50 2019,68,24.01,-104.61,48.72,5.95
salina,1,US,Mon Apr  1 08:27:23 2019,92,36.29,-95.15,39.2,2.82
nassau,0,DE,Mon Apr  1 08:27:04 2019,60,51.17,13.51,53.01,10.29
vaasa,0,FI,Mon Apr  1 08:30:34 2019,64,63.1,21.62,37,12.75
koforidua,20,GH,Mon Apr  1 07:00:00 2019,88,6.11,-0.27,80.6,6.93
pagudpud,75,PH,Mon Apr  1 08:00:00 2019,66,18.56,120.79,87.8,12.75
lyuban,0,BY,Mon Apr  1 08:30:52 2019,63,52.8,28,41.7,13.78
padang,40,ID,Mon Apr  1 07:00:00 2019,74,-0.92,100.36,84.2,4.7
karachi,0,PK,Mon Apr  1 07:55:00 2019,19,24.87,67.03,98.6,8.05
barrow,76,AR,Mon Apr  1 08:30:53 2019,82,-38.31,-60.23,68.43,7.74
ushtobe,88,KZ,Mon Apr  1 08:30:54 2019,64,45.25,77.98,60.42,21.27
vardo,20,US,Mon Apr  1 08:30:53 2019,50,39.62,-77.74,32,11.41
te anau,80,NZ,Mon Apr  1 08:30:54 2019,79,-45.41,167.72,42.96,4.94
chipiona,0,PE,Mon Apr  1 08:30:54 2019,73,-14.54,-75.2,54.66,2.71
montgomery,1,US,Mon Apr  1 08:27:06 2019,55,32.37,-86.3,44.01,3.36
muros,20,ES,Mon Apr  1 08:30:04 2019,62,42.77,-9.06,57,4.7
mount gambier,75,AU,Mon Apr  1 07:00:00 2019,59,-37.83,140.78,62.6,9.17
tessalit,0,ML,Mon Apr  1 08:30:56 2019,34,20.2,1.01,81.03,11.43
guiratinga,0,BR,Mon Apr  1 08:30:56 2019,83,-16.35,-53.76,70.32,2.71
kantunilkin,5,MX,Mon Apr  1 08:22:20 2019,78,21.1,-87.49,78.8,6.93
salalah,20,OM,Mon Apr  1 07:50:00 2019,66,17.01,54.1,84.2,13.87
lakes entrance,0,AU,Mon Apr  1 08:30:04 2019,69,-37.88,147.99,57.99,4.83
bilibino,80,RU,Mon Apr  1 08:30:57 2019,90,68.06,166.44,13.26,2.59
oussouye,0,SN,Mon Apr  1 08:00:00 2019,88,12.49,-16.54,75.2,4.7
hay river,90,CA,Mon Apr  1 08:00:00 2019,86,60.82,-115.79,33.8,6.93
severo-kurilsk,88,RU,Mon Apr  1 08:26:11 2019,100,50.68,156.12,28.2,3.94
klaksvik,76,FO,Mon Apr  1 07:50:00 2019,81,62.23,-6.59,42.8,19.46
alofi,48,NU,Mon Apr  1 08:00:00 2019,94,-19.06,-169.92,75.2,9.17
guerrero negro,20,MX,Mon Apr  1 08:28:27 2019,46,27.97,-114.04,57.45,4.61
kaspiyskiy,56,RU,Mon Apr  1 08:31:00 2019,75,45.39,47.37,48.72,23.51
paducah,1,US,Mon Apr  1 08:30:06 2019,80,37.08,-88.6,33.8,7.96
nishihara,75,JP,Mon Apr  1 08:30:27 2019,57,35.74,139.53,53.01,5.82
hopelchen,0,MX,Mon Apr  1 08:31:00 2019,49,19.77,-89.85,79.5,3.94
nusaybin,40,TR,Mon Apr  1 08:00:00 2019,67,37.08,41.21,60.8,4.7
vila velha,0,BR,Mon Apr  1 08:28:09 2019,94,-3.71,-38.6,77,2.24
port macquarie,75,AU,Mon Apr  1 08:30:05 2019,64,-31.43,152.91,71.01,10.29
necochea,76,AR,Mon Apr  1 08:26:08 2019,84,-38.55,-58.74,64,3.6
mabaruma,88,GY,Mon Apr  1 08:31:02 2019,87,8.2,-59.78,77.07,6.17
novo aripuana,36,BR,Mon Apr  1 08:31:02 2019,94,-5.12,-60.38,75.63,2.15
gerede,76,TR,Mon Apr  1 08:31:03 2019,72,40.8,32.2,39.54,3.49
lagos,20,NG,Mon Apr  1 07:00:00 2019,94,6.46,3.39,80.6,7.18
panacan,75,PH,Mon Apr  1 08:00:00 2019,62,7.15,125.66,86,10.29
dawson creek,1,CA,Mon Apr  1 08:00:00 2019,80,55.76,-120.23,35.6,4.7
porto novo,75,BR,Mon Apr  1 08:00:00 2019,100,-23.68,-45.44,66.2,2.24
mukhen,20,RU,Mon Apr  1 08:31:05 2019,47,48.19,136.14,27.3,4.94
yulara,0,AU,Mon Apr  1 07:00:00 2019,13,-25.24,130.99,84.2,8.05
broken hill,0,AU,Mon Apr  1 07:00:00 2019,35,-31.97,141.45,71.6,12.75
dongsheng,24,CN,Mon Apr  1 08:31:06 2019,59,29.72,112.52,68.61,6.29
bekwai,24,GH,Mon Apr  1 08:31:06 2019,98,6.46,-1.58,80.85,4.72
griffith,0,AU,Mon Apr  1 07:00:00 2019,37,-34.29,146.06,73.4,3.36
taoudenni,0,ML,Mon Apr  1 08:31:07 2019,43,22.68,-3.98,69.33,5.84
port hedland,0,AU,Mon Apr  1 07:30:00 2019,17,-20.31,118.58,100.4,8.05
karpathos,20,GR,Mon Apr  1 07:50:00 2019,59,35.51,27.21,62.6,17.22
katsuura,75,JP,Mon Apr  1 08:16:00 2019,57,33.93,134.5,50,17.22
anadyr,90,RU,Mon Apr  1 08:22:25 2019,86,64.73,177.51,30.2,29.08
abeche,0,TD,Mon Apr  1 08:00:00 2019,16,13.83,20.83,87.8,13.87
bossangoa,36,CF,Mon Apr  1 08:31:09 2019,76,6.5,17.45,83.37,7.96
punta alta,0,AR,Mon Apr  1 08:00:00 2019,88,-27.46,-55.82,75.2,3.36
khuldabad,0,IN,Mon Apr  1 08:00:00 2019,7,20.05,75.18,102.2,3.36
harper,90,US,Mon Apr  1 08:30:55 2019,74,30.3,-99.24,44.6,3.6
ambatolampy,40,MG,Mon Apr  1 08:00:00 2019,57,-19.39,47.43,80.6,4.7
patea,92,NZ,Mon Apr  1 08:30:10 2019,97,-39.76,174.48,61,7
derzhavinsk,0,KZ,Mon Apr  1 08:31:11 2019,99,51.1,66.31,45.48,5.06
dubai,0,AE,Mon Apr  1 08:00:00 2019,16,25.27,55.3,100.4,13.87
locri,0,IT,Mon Apr  1 08:30:55 2019,51,38.24,16.26,62.01,3.36
adre,0,TD,Mon Apr  1 08:31:12 2019,17,13.47,22.2,91.56,12.77
porto seguro,20,BR,Mon Apr  1 08:00:00 2019,88,-16.44,-39.06,71.6,5.82
lethem,0,GY,Mon Apr  1 08:31:13 2019,71,3.38,-59.8,79.23,11.32
verkh-usugli,0,RU,Mon Apr  1 08:31:13 2019,33,52.7,115.17,34.32,3.94
djibo,0,BF,Mon Apr  1 08:31:13 2019,41,14.1,-1.63,92.82,8.19
hohhot,0,CN,Mon Apr  1 07:00:00 2019,12,40.81,111.65,55.4,4.47
uyuni,8,BO,Mon Apr  1 08:31:14 2019,91,-20.46,-66.82,35.13,3.04
taltal,44,CL,Mon Apr  1 08:31:14 2019,100,-25.41,-70.49,51.96,0.81
drayton valley,36,CA,Mon Apr  1 08:30:42 2019,85,53.22,-114.98,30.45,8.41
igrim,56,RU,Mon Apr  1 08:31:15 2019,57,63.19,64.42,39.09,6.17
ambatondrazaka,8,MG,Mon Apr  1 08:31:15 2019,56,-17.82,48.43,82.74,2.93
alyangula,40,AU,Mon Apr  1 07:00:00 2019,74,-13.85,136.42,82.4,5.82
norman wells,90,CA,Mon Apr  1 08:00:00 2019,92,65.28,-126.83,32,19.46
hami,56,CN,Mon Apr  1 08:31:16 2019,36,42.84,93.51,70.95,3.6
karratha,0,AU,Mon Apr  1 08:31:17 2019,17,-20.74,116.85,101.55,6.96
pangai,32,TO,Mon Apr  1 08:31:17 2019,100,-19.8,-174.35,80.49,19.26
beira,0,ES,Mon Apr  1 08:31:13 2019,93,43.2,-8.36,57,3.36
ayan,24,TR,Mon Apr  1 08:31:18 2019,51,40.67,33.6,48.45,3.15
port elizabeth,1,US,Mon Apr  1 08:27:50 2019,42,39.31,-74.98,34,13.87
zakamensk,0,RU,Mon Apr  1 08:31:18 2019,27,50.38,103.29,50.16,3.71
pevek,68,RU,Mon Apr  1 08:28:29 2019,68,69.7,170.27,7.77,2.93
kardla,20,EE,Mon Apr  1 08:30:15 2019,64,58.44,26.57,41,12.75
inta,44,RU,Mon Apr  1 08:31:19 2019,72,66.04,60.13,30.99,6.96
dosso,80,NE,Mon Apr  1 08:31:20 2019,28,13.05,3.19,94.08,5.73
bathsheba,20,BB,Mon Apr  1 08:00:00 2019,73,13.22,-59.52,77,16.11
viedma,8,AR,Mon Apr  1 08:31:20 2019,77,-40.81,-62.99,70.23,13.89
port lincoln,32,AU,Mon Apr  1 08:28:23 2019,86,-34.72,135.86,64.47,4.61
bar-le-duc,0,FR,Mon Apr  1 08:30:41 2019,58,48.77,5.16,54,16.11
nouadhibou,20,MR,Mon Apr  1 08:00:00 2019,82,20.93,-17.03,60.8,17.22
deputatskiy,0,RU,Mon Apr  1 08:31:21 2019,77,69.3,139.9,9.75,3.71
along,92,IN,Mon Apr  1 08:31:22 2019,97,28.17,94.8,58.98,0.69
tuatapere,92,NZ,Mon Apr  1 08:31:22 2019,100,-46.13,167.69,49.17,19.82
atyrau,0,KZ,Mon Apr  1 08:00:00 2019,37,47.1,51.92,55.4,22.37
maragogi,64,BR,Mon Apr  1 08:29:22 2019,95,-9.01,-35.22,77.79,4.94
gambo,0,NG,Mon Apr  1 08:31:23 2019,21,11.96,9.63,91.83,12.44
itapetinga,80,BR,Mon Apr  1 08:30:25 2019,93,-15.25,-40.25,67.71,2.59
schrobenhausen,8,DE,Mon Apr  1 08:31:15 2019,75,48.56,11.27,53.01,5.82
manokwari,76,ID,Mon Apr  1 08:27:15 2019,100,-0.87,134.08,81.3,13.67
moose factory,75,CA,Mon Apr  1 08:12:00 2019,61,51.26,-80.61,15.8,9.17
paamiut,36,GL,Mon Apr  1 08:31:24 2019,100,61.99,-49.67,22.53,14
ratangarh,0,IN,Mon Apr  1 08:31:24 2019,14,28.07,74.62,98.76,6.73
iwanai,68,JP,Mon Apr  1 08:31:25 2019,99,42.97,140.51,35.13,3.94
sarab,80,IR,Mon Apr  1 08:31:25 2019,92,38.61,44.99,41.07,3.83
dracena,20,BR,Mon Apr  1 08:31:26 2019,64,-21.48,-51.54,73.65,7.63
makakilo city,1,US,Mon Apr  1 08:24:33 2019,78,21.35,-158.09,75.2,5.82
pathein,0,MM,Mon Apr  1 08:31:26 2019,38,16.78,94.73,95.25,8.86
beloha,0,MG,Mon Apr  1 08:31:27 2019,43,-25.17,45.06,86.07,4.72
hoshangabad,0,IN,Mon Apr  1 08:31:27 2019,25,22.75,77.72,99.57,4.72
melito di porto salvo,0,IT,Mon Apr  1 08:31:21 2019,51,37.92,15.77,66.99,3.36
minot,90,US,Mon Apr  1 08:26:03 2019,80,48.23,-101.3,32,4.7
mogadishu,0,SO,Mon Apr  1 08:31:28 2019,100,2.04,45.34,82.65,13
juneau,1,US,Mon Apr  1 07:56:00 2019,80,58.3,-134.42,33.8,3.36
carbonia,0,IT,Mon Apr  1 08:30:44 2019,62,39.17,8.53,59,8.05
murgab,0,TM,Mon Apr  1 08:00:00 2019,43,37.5,61.97,55.4,13.87
thinadhoo,80,MV,Mon Apr  1 08:28:42 2019,100,0.53,72.93,82.83,2.82
nome,1,US,Mon Apr  1 08:23:36 2019,86,30.04,-94.42,45,5.95
ewo,0,CG,Mon Apr  1 08:31:30 2019,76,-0.88,14.81,86.34,5.39
kiomboi,24,TZ,Mon Apr  1 08:31:30 2019,66,-4.28,34.41,82.29,6.51
carutapera,92,BR,Mon Apr  1 08:31:30 2019,100,-1.2,-46.02,73.2,3.83
dali,36,CN,Mon Apr  1 08:31:31 2019,53,25.6,100.24,64.92,6.17
hobyo,0,SO,Mon Apr  1 08:31:32 2019,69,5.35,48.53,85.98,11.43
alakurtti,44,RU,Mon Apr  1 08:29:14 2019,51,66.96,30.34,32,11.99
baykit,88,RU,Mon Apr  1 08:31:32 2019,98,61.68,96.39,34.5,10.2
chingirlau,0,KZ,Mon Apr  1 08:31:33 2019,90,51.09,54.08,39,12.21
orikum,0,AL,Mon Apr  1 08:31:33 2019,99,40.33,19.47,59.07,5.95
sayyan,0,YE,Mon Apr  1 08:31:33 2019,18,15.17,44.32,78.96,6.96
ponta delgada,75,PT,Mon Apr  1 08:00:00 2019,76,37.73,-25.67,55.4,12.75
khandyga,0,RU,Mon Apr  1 08:31:34 2019,53,62.65,135.58,21.18,3.6
porto empedocle,75,IT,Mon Apr  1 08:31:06 2019,54,37.29,13.53,62.01,3.36
tiksi,0,RU,Mon Apr  1 08:31:35 2019,71,71.64,128.87,26.85,7.29
bertoua,0,CM,Mon Apr  1 08:27:36 2019,81,4.58,13.68,83.91,5.61
college,1,US,Mon Apr  1 08:30:12 2019,80,64.86,-147.8,37.4,1.7
alibag,0,IN,Mon Apr  1 08:00:00 2019,58,18.64,72.88,89.6,11.41
peniche,20,PT,Mon Apr  1 08:26:01 2019,93,39.36,-9.38,57.2,2.24
vicksburg,1,US,Mon Apr  1 08:17:01 2019,60,32.35,-90.88,44.6,5.82
tubuala,20,PA,Mon Apr  1 08:30:54 2019,83,9.52,-79.03,78.01,2.24
kochki,0,RU,Mon Apr  1 08:31:37 2019,96,54.33,80.49,39.99,11.21
tipuani,100,BO,Mon Apr  1 08:31:37 2019,90,-15.56,-68.02,66.54,1.81
abu dhabi,0,AE,Mon Apr  1 08:00:00 2019,14,24.47,54.37,98.6,10.29
concordia,8,AR,Mon Apr  1 08:26:52 2019,98,-31.4,-58.02,70,3.94
baglan,20,GB,Mon Apr  1 08:31:19 2019,86,51.62,-3.81,46.99,14.99
viesca,0,MX,Mon Apr  1 08:30:48 2019,61,25.34,-102.81,52,2.59
batemans bay,64,AU,Mon Apr  1 08:24:41 2019,74,-35.71,150.18,63,3.38
micheweni,36,TZ,Mon Apr  1 08:31:42 2019,100,-4.97,39.83,82.92,8.75
pamanukan,68,ID,Mon Apr  1 08:31:42 2019,100,-6.28,107.82,81.57,2.04
santa maria,0,BR,Mon Apr  1 08:31:44 2019,88,-29.69,-53.81,61.14,3.71
vilhena,92,BR,Mon Apr  1 08:31:45 2019,92,-12.74,-60.15,73.29,1.81
great yarmouth,20,GB,Mon Apr  1 08:31:41 2019,70,52.61,1.73,50,12.75
yeniseysk,64,RU,Mon Apr  1 08:31:46 2019,76,58.45,92.17,35.94,10.76
half moon bay,1,US,Mon Apr  1 08:31:46 2019,66,37.46,-122.43,55.99,3.36
yokadouma,0,CM,Mon Apr  1 08:31:46 2019,74,3.52,15.05,84.09,3.27
katiola,40,CI,Mon Apr  1 07:00:00 2019,94,8.14,-5.1,71.6,6.93
lithgow,90,AU,Mon Apr  1 08:30:41 2019,72,-33.48,150.16,66.99,9.17
qeshm,75,IR,Mon Apr  1 08:00:00 2019,34,26.96,56.27,93.2,6.93
tynda,0,RU,Mon Apr  1 08:31:48 2019,47,55.15,124.74,27.84,4.72
capoterra,0,IT,Mon Apr  1 08:30:44 2019,62,39.18,8.97,59,8.05
vestmannaeyjar,40,IS,Mon Apr  1 07:18:00 2019,98,63.44,-20.27,32,12.75
lewistown,75,US,Mon Apr  1 08:31:34 2019,86,40.39,-90.15,33.01,6.17
neftcala,92,AZ,Mon Apr  1 08:31:49 2019,100,39.37,49.25,47.55,5.73
bagru,20,IN,Mon Apr  1 08:00:00 2019,20,26.81,75.54,95,4.7
tongliao,0,CN,Mon Apr  1 08:31:50 2019,39,43.61,122.27,42.96,10.65
tadine,68,NC,Mon Apr  1 08:31:50 2019,100,-21.55,167.88,77.43,10.65
cidreira,0,BR,Mon Apr  1 08:31:51 2019,93,-30.17,-50.22,66.09,6.4
jeremie,0,HT,Mon Apr  1 08:31:51 2019,100,18.65,-74.12,73.74,6.29
lebane,0,RS,Mon Apr  1 08:31:25 2019,40,42.92,21.74,59,2.24
kutum,0,SD,Mon Apr  1 08:31:52 2019,18,14.2,24.66,83.73,9.42
mindelo,0,PT,Mon Apr  1 08:27:17 2019,67,41.31,-8.72,59,8.05
amahai,68,ID,Mon Apr  1 08:31:52 2019,98,-3.31,129,84.63,10.54
machinga,20,MW,Mon Apr  1 08:00:00 2019,54,-15.18,35.3,80.6,5.82
kristiansund,75,NO,Mon Apr  1 07:50:00 2019,60,63.12,7.73,41,27.51
iqaluit,75,CA,Mon Apr  1 08:00:00 2019,77,63.75,-68.52,3.2,6.93
adeje,0,NG,Mon Apr  1 08:31:54 2019,95,5.68,5.76,86.07,4.72
denia,100,ES,Mon Apr  1 08:31:24 2019,84,38.84,0.11,60.01,3
dergachi,0,RU,Mon Apr  1 08:31:54 2019,92,51.24,48.77,38.46,12.77
rio pardo,0,BR,Mon Apr  1 08:31:54 2019,89,-29.98,-52.37,64.29,4.94
emba,40,CY,Mon Apr  1 08:16:08 2019,72,34.81,32.42,62.6,5.82
auki,24,NG,Mon Apr  1 08:31:55 2019,21,12.18,6.51,91.38,13.44
samarai,68,PG,Mon Apr  1 08:31:55 2019,100,-10.62,150.67,80.4,16.46
tonstad,0,NO,Mon Apr  1 08:31:52 2019,59,58.66,6.71,39.99,3.36
evanston,1,US,Mon Apr  1 08:27:05 2019,79,42.04,-87.69,28.99,6.4
tikapur,24,NP,Mon Apr  1 08:31:56 2019,35,28.53,81.12,85.8,2.93
worthington,20,US,Mon Apr  1 08:31:26 2019,79,43.62,-95.6,36,5.82
neuquen,0,AR,Mon Apr  1 08:00:00 2019,49,-38.95,-68.06,68,6.93
inhambane,20,MZ,Mon Apr  1 07:00:00 2019,69,-23.87,35.38,77,4.38
srednekolymsk,0,RU,Mon Apr  1 08:31:57 2019,80,67.46,153.71,15.33,5.73
mitu,92,IR,Mon Apr  1 08:31:58 2019,100,36.2,46.09,39.99,2.71
muyezerskiy,0,RU,Mon Apr  1 08:31:59 2019,59,63.93,31.65,32.25,7.63
baijiantan,0,CN,Mon Apr  1 08:31:59 2019,72,45.63,85.18,66.36,5.17
pingxiang,20,CN,Mon Apr  1 08:31:59 2019,61,27.63,113.85,63.57,4.16
araouane,0,ML,Mon Apr  1 08:32:00 2019,38,18.9,-3.53,79.95,12.77
makurdi,36,NG,Mon Apr  1 08:32:00 2019,67,7.73,8.54,88.59,5.06
nanakuli,1,US,Mon Apr  1 08:29:33 2019,88,21.39,-158.15,75.2,3.36
lewisporte,90,CA,Mon Apr  1 08:31:31 2019,100,49.25,-55.06,45,13.87
ulladulla,75,AU,Mon Apr  1 08:29:22 2019,68,-35.36,150.48,64.4,5.82
westport,75,IE,Mon Apr  1 08:28:13 2019,100,53.8,-9.52,45,5.82
hellin,75,ES,Mon Apr  1 08:30:17 2019,100,38.51,-1.7,50,3.6
brigantine,1,US,Mon Apr  1 08:31:42 2019,47,39.41,-74.36,34,18.34
stevens point,40,US,Mon Apr  1 08:26:28 2019,79,44.52,-89.57,28.99,5.39
tiznit,0,MA,Mon Apr  1 08:30:08 2019,86,29.7,-9.73,59.7,4.5
oshnaviyeh,75,IR,Mon Apr  1 08:00:00 2019,75,37.04,45.1,46.4,9.17
moyale,36,ET,Mon Apr  1 08:32:04 2019,57,3.52,39.05,82.56,8.97
jasper,0,US,Mon Apr  1 08:30:54 2019,64,33.83,-87.28,42.8,6.17
mount isa,0,AU,Mon Apr  1 07:30:00 2019,30,-20.73,139.49,84.2,16.11
avera,1,US,Mon Apr  1 08:30:34 2019,45,33.19,-82.53,48.2,8.05
buraydah,40,SA,Mon Apr  1 08:00:00 2019,32,26.33,43.97,68,19.46
churapcha,0,RU,Mon Apr  1 08:32:06 2019,56,62,132.43,26.22,4.72
aswan,0,EG,Mon Apr  1 08:28:20 2019,36,24.09,32.9,70.77,4.72
sambava,12,MG,Mon Apr  1 08:32:06 2019,100,-14.27,50.17,83.91,9.31
cochrane,8,CL,Mon Apr  1 08:32:07 2019,98,-47.25,-72.57,33.96,1.59
beterou,80,BJ,Mon Apr  1 08:32:07 2019,95,9.2,2.26,79.41,4.94
fort frances,1,CA,Mon Apr  1 08:15:03 2019,92,48.61,-93.4,26.6,3.36
cayenne,88,GF,Mon Apr  1 08:00:00 2019,94,4.94,-52.33,73.4,6.62
kloulklubed,75,PW,Mon Apr  1 07:50:00 2019,78,7.04,134.26,82.4,8.05
benguela,0,AO,Mon Apr  1 08:32:08 2019,84,-12.58,13.4,86.34,3.94
saint-francois,0,FR,Mon Apr  1 08:30:35 2019,75,46.42,3.91,52,1.12
nemuro,40,JP,Mon Apr  1 08:00:00 2019,97,43.32,145.57,32,5.82
varberg,0,SE,Mon Apr  1 08:19:04 2019,55,57.11,12.25,41,3.36
victor harbor,20,AU,Mon Apr  1 08:31:42 2019,55,-35.55,138.62,66.99,9.17
coihaique,0,CL,Mon Apr  1 08:00:00 2019,62,-45.58,-72.07,51.8,27.51
jutai,92,BR,Mon Apr  1 08:32:11 2019,99,-1.71,-47.89,72.66,2.04
mahon,90,IE,Mon Apr  1 08:00:00 2019,87,51.89,-8.4,44.6,4.7
lyambir,92,RU,Mon Apr  1 08:32:11 2019,93,54.28,45.12,34.68,6.51
nagod,0,IN,Mon Apr  1 08:32:12 2019,15,24.57,80.59,98.49,10.65
serenje,0,ZM,Mon Apr  1 08:32:12 2019,62,-13.23,30.22,78.96,8.75
khakhea,48,BW,Mon Apr  1 08:32:12 2019,40,-24.69,23.5,86.34,4.05
kalianget,68,ID,Mon Apr  1 08:32:12 2019,100,-7.74,113.68,79.32,3.6
maamba,0,ZM,Mon Apr  1 08:32:13 2019,32,-17.36,27.22,86.61,6.96
pangnirtung,76,CA,Mon Apr  1 08:32:13 2019,76,66.15,-65.72,4.62,6.17
xining,64,CN,Mon Apr  1 08:32:14 2019,18,36.62,101.77,58.89,8.86
walvis bay,0,NA,Mon Apr  1 08:02:13 2019,56,-22.95,14.51,73.4,5.82
pierre,1,US,Mon Apr  1 08:30:04 2019,85,44.37,-100.35,28.99,3.36
sinjai,56,ID,Mon Apr  1 08:32:15 2019,97,-5.12,120.25,77.25,2.59
